"date","platform","post","status","remoteId","message","publishedAt"





"2026-09-21","Threads","Threads Post 1","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Monday, 21-Sep-26 06:55:55 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""A-_Ii8HpwarTJKZswCZOBAX""}}","2026-09-21T13:55:55.640Z"
"2026-09-21","Threads","Threads Post 2","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Monday, 21-Sep-26 06:55:55 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""AfNc7SiikT44hkn98Sf_6lZ""}}","2026-09-21T13:55:55.640Z"
"2026-09-21","Threads","Threads Post 1","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Monday, 21-Sep-26 11:57:35 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""AtFdqzUlBz7viFhFKn60vjG""}}","2026-09-21T18:57:35.779Z"
"2026-09-21","Threads","Threads Post 2","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Monday, 21-Sep-26 11:57:35 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""AobrU8gKcIEwUZ47NIAVD8b""}}","2026-09-21T18:57:35.779Z"
"2026-09-21","Threads","Threads Post 1","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Monday, 21-Sep-26 15:23:04 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""AMELvuIJB4CabTkeY95mbq-""}}","2026-09-21T22:23:04.881Z"
"2026-09-21","Threads","Threads Post 2","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Monday, 21-Sep-26 15:23:04 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""AgyYb-6KiCMXoHd8eTZHLz9""}}","2026-09-21T22:23:04.881Z"
"2026-09-21","Threads","Threads Post 2","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Monday, 21-Sep-26 17:55:50 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""ALjpcrXN95paMfjICjXZPSX""}}","2026-09-22T00:55:51.066Z"
